campo,descripcion
id_cultural,Identificador único construido para la base integrada.
id_sic,Identificador original del registro en el SIC.
tipo_cultural,"Tipo normalizado: TEATRO, CENTRO_CULTURAL o CINE."
nombre,Nombre del espacio cultural.
fecha_fundacion,Fecha de fundación reportada por el SIC.
adscripcion_original,Adscripción institucional original reportada por el SIC.
tipo_gestion,"Clasificación derivada: PUBLICO, PRIVADO, MIXTO o NO_DETERMINADO."
criterio_clasificacion,Criterio utilizado para asignar el tipo de gestión.
fuente_revision_gestion,Fuente externa utilizada en revisiones manuales.
nota_revision_gestion,Nota de trazabilidad de la clasificación.
estado_id,Identificador de entidad federativa.
entidad,Nombre de entidad federativa.
municipio_id,Identificador municipal o de alcaldía reportado por SIC.
municipio,Alcaldía reportada por SIC.
localidad_id,Identificador de localidad.
localidad,Localidad reportada por SIC.
calle_numero,Calle y número del espacio.
colonia,Colonia reportada.
cp,Código postal.
telefono,Teléfono de contacto.
pagina_web,Página web reportada.
email,Correo electrónico reportado.
facebook,Facebook reportado.
twitter,Twitter/X reportado.
instagram,Instagram reportado.
aforo,Aforo del teatro cuando está disponible.
tipo_escenario,Tipo de escenario del teatro.
num_pantallas,Número de pantallas del complejo cinematográfico.
longitud,Longitud geográfica reportada por SIC.
latitud,Latitud geográfica reportada por SIC.
link_sic,Enlace al registro del SIC.
fecha_modificacion,Fecha de modificación reportada por SIC.
es_pilares,Indica si el registro corresponde explícitamente a un PILARES.
dataset_relacionado,Dataset del proyecto con posible solapamiento.
revision_manual,Indica si el tipo de gestión requiere revisión.
motivo_revision,Motivo por el cual el registro requiere revisión.
fuente,Fuente principal del registro.
